"","strain","type_of_doe","plate","condition","p_h","glucose_g_l","ammonium_sulfate_g_l","phosphate_citrate_x","ynb_x","amino_acid_1_m_m","amino_acid_2_g_l","amino_acid_2_g_l_1","ethanol_g_l","mean_calc_OD60","residual_glucose"
"123","Strain B","Round_0_Definitive_screening_design","Plate 19",3,4.5,15,3,1,2,0.1,0.5,0,2.5,10.85604386,0
"124","Strain B","Round_0_Definitive_screening_design","Plate 19",4,4.5,25,12,1,2,3.5,0,0,0,15.38635293,0
"125","Strain B","Round_0_Definitive_screening_design","Plate 19",5,4.5,35,7.5,1,0.5,0.1,0.5,0.5,0,13.7857277425,4.82
"126","Strain B","Round_0_Definitive_screening_design","Plate 19",6,4.5,15,3,1,0.5,3.5,0,0.5,5,9.929988013,0
"127","Strain B","Round_0_Definitive_screening_design","Plate 19",7,4.5,35,3,0.2,2,1.8,0,0.5,0,24.2941849175,0
"128","Strain B","Round_0_Definitive_screening_design","Plate 19",8,4.5,15,12,0.2,0.5,3.5,0.5,0.25,0,10.9746103325,0
"129","Strain B","Round_0_Definitive_screening_design","Plate 19",9,4.5,35,12,0.6,0.5,0.1,0,0,5,14.596559055,1
"130","Strain B","Round_0_Definitive_screening_design","Plate 19",10,5.5,35,12,1,2,3.5,0.5,0.5,5,20.2714752725,0
"131","Strain B","Round_0_Definitive_screening_design","Plate 19",11,5.5,25,7.5,0.6,1.25,1.8,0.25,0.25,2.5,19.388583975,0
"132","Strain B","Round_0_Definitive_screening_design","Plate 19",12,5.5,15,3,0.2,0.5,0.1,0,0,0,10.9502564075,0
"133","Strain B","Round_0_Definitive_screening_design","Plate 19",13,6.5,35,12,0.2,2,0.1,0.5,0,0,23.5237588925,0
"134","Strain B","Round_0_Definitive_screening_design","Plate 19",14,6.5,15,12,1,1.25,0.1,0,0.5,0,9.60252980375,0
"135","Strain B","Round_0_Definitive_screening_design","Plate 19",15,6.5,15,7.5,0.2,2,3.5,0,0,5,11.228390835,0
"136","Strain B","Round_0_Definitive_screening_design","Plate 19",16,6.5,35,3,1,0.5,3.5,0.25,0,0,1.250113324,29.89
"137","Strain B","Round_0_Definitive_screening_design","Plate 19",17,6.5,35,3,1,2,0.1,0,0.25,5,11.64655944375,16.66
"138","Strain B","Round_0_Definitive_screening_design","Plate 19",18,6.5,15,12,1,0.5,1.8,0.5,0,5,4.9424193035,6.2
"139","Strain B","Round_0_Definitive_screening_design","Plate 19",19,6.5,35,12,0.2,0.5,3.5,0,0.5,2.5,16.7359076375,1.88
"140","Strain B","Round_0_Definitive_screening_design","Plate 19",20,6.5,25,3,0.2,0.5,0.1,0.5,0.5,5,18.0565423925,0
"141","Strain B","Round_0_Definitive_screening_design","Plate 19",21,6.5,15,3,0.6,2,3.5,0.5,0.5,0,12.9861876975,0
"142","Strain B","Round_0_Definitive_screening_design","Plate 19",22,5.5,15,3,1,0.5,0,0,0,0,9.38709520125,0
"143","Strain B","Round_0_Definitive_screening_design","Plate 19",23,4.5,15,3,1,0.5,0,0,0,0,10.9216650175,0
"144","Strain B","Round_0_Definitive_screening_design","Plate 19",24,6.5,15,12,1,2,0,0.5,0.5,2.5,9.776133282,0
