"","strain","type_of_doe","plate","incubation_time_h","condition","p_h","glucose_g_l","ynb_x","amino_acid_1_m_m","ethanol_g_l","agit_rpm","mean_calc_OD60","residual_glucose"
"109","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,6,5,25,3,0.5,40,150,0.38330121,-99
"110","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,7,5,5,0.5,0.5,40,150,0.52661835,-99
"111","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,8,6.5,25,3,0.5,40,300,0.90446902,-99
"112","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,9,5,5,3,2,5,150,0.759308315,-99
"113","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,10,6.5,25,0.5,2,5,300,2.69881885,-99
"114","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,11,6.5,5,3,2,5,300,1.849256005,-99
"115","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,12,5,25,0.5,2,5,150,0.92354591,-99
"116","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,13,6.5,5,0.5,2,40,150,0.621281405,-99
"117","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,14,5,25,3,2,40,300,0.505056655,-99
"118","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,15,5,5,0.5,2,40,150,0.520286105,-99
"119","Strain C","Round_0_Fractional_Factorial_Design","plate 5",24,16,6.5,25,3,2,40,300,0.497842705,-99
