,Ferm Number,Ferm Age,Side Product 1,Upstream Intermediate,Amino Acid 1,Amino Acid 2,Cell Mass,Side Product 2,Downstream Intermediate 1,Side Product 3,Downstream Intermediate 2,Target Product,Side Product 4,Fermenter,Strain,Run Description
491,AF12756,102,583.9321047194916,41.759474068385316,440.2426085638259,365.3446254101009,1047.6633965510114,44.36536571690453,1857.614669407835,1750.3196059899003,1058.0361876762213,1386.9433778085315,1212.2928149909153,V01,Strain B,Process C
492,AF12756,105,604.0424656191069,0.0,521.4946151087656,415.11534303706287,1024.9731033494784,43.69781694460227,1868.658356192492,1821.7917864097647,1030.18869179918,1424.6515607859033,1166.992546703672,V01,Strain B,Process C
493,AF12756,108,,,,,,,,,,,,V01,Strain B,Process C
494,AF12756,118,,,,,,,,,,,,V01,Strain B,Process C
495,AF12757,0,,,,,,,,,,,,V02,Strain B,Process C
496,AF12757,22,10.645132860403654,0.0,73.67062059242915,68.04958760479,99.18991166489386,0.0,3.2011583542923283,0.0,21.72626236513017,10.038178365010635,0.0,V02,Strain B,Process C
497,AF12757,27,,,,,,,,,,,,V02,Strain B,Process C
498,AF12757,30,,,,,,,,,,,,V02,Strain B,Process C
499,AF12757,48,,,,,,,,,,,,V02,Strain B,Process C
500,AF12757,51,,,,,,,,,,,,V02,Strain B,Process C
501,AF12757,54,191.23823319492044,0.0,78.94342314984343,388.9243084392883,625.00861301737,0.0,1069.8346938344912,308.02648661356125,402.033839466235,239.17910377895288,380.37297906207266,V02,Strain B,Process C
502,AF12757,57,,,,,,,,,,,,V02,Strain B,Process C
503,AF12757,70,327.21951667225335,176.83869509395376,103.6610513229129,108.41916404999078,960.9082783355452,8.38411534133094,1690.8877058185278,667.4663954355557,905.814589221578,662.2255368107209,314.2315580344108,V02,Strain B,Process C
504,AF12757,72,,,,,,,,,,,,V02,Strain B,Process C
505,AF12757,75,,,,,,,,,,,,V02,Strain B,Process C
506,AF12757,78,380.26539358740195,0.0,128.8578771329806,109.2634467488495,1064.456777395084,44.30121167904691,1817.3467774658707,830.2842510572309,1074.0039295758054,954.8514389724972,651.7583703917727,V02,Strain B,Process C
507,AF12757,79,,,,,,,,,,,,V02,Strain B,Process C
508,AF12757,84,,,,,,,,,,,,V02,Strain B,Process C
509,AF12757,87,,,,,,,,,,,,V02,Strain B,Process C
510,AF12757,90,,,,,,,,,,,,V02,Strain B,Process C
511,AF12757,94,444.29508166816026,0.0,202.8065671651199,221.50835270243246,1025.1974424065556,44.06465914563368,1806.9826932545366,1533.3919934580422,1190.3814074315203,1377.521904702067,1049.2248868606464,V02,Strain B,Process C
512,AF12757,95,,,,,,,,,,,,V02,Strain B,Process C
513,AF12757,99,482.83707640983897,8.517889664930847,254.02197557164243,296.89605225361646,1029.8124172950031,35.606977204906165,1733.3673463715697,1711.1270089786667,1153.0716321921882,1423.970955946351,1275.2725928454117,V02,Strain B,Process C
514,AF12757,102,541.1626294342858,24.0976367247365,320.8479540028318,316.3478802893676,1013.4677145650852,28.611462389559073,1715.9663034264065,1825.4474124562676,1139.5152092409978,1477.997308668531,1226.5823557164997,V02,Strain B,Process C
515,AF12757,105,601.6706354907044,0.0,409.6025193343334,366.3455609840469,994.3027494033383,10.340937345482276,1731.557318828308,1955.8689508079094,1138.8057397907305,1507.1934730411976,1241.8278055919145,V02,Strain B,Process C
516,AF12757,108,,,,,,,,,,,,V02,Strain B,Process C
517,AF12757,118,,,,,,,,,,,,V02,Strain B,Process C
518,AF12758,0,,,,,,,,,,,,V03,Strain B,Process C
519,AF12758,22,15.116000027363338,0.0,73.75656101817385,75.34849462504394,96.8183273472195,0.0,1.942095580083031,0.0,22.29393026034559,9.880658467647033,0.0,V03,Strain B,Process C
520,AF12758,27,,,,,,,,,,,,V03,Strain B,Process C
521,AF12758,30,,,,,,,,,,,,V03,Strain B,Process C
522,AF12758,48,,,,,,,,,,,,V03,Strain B,Process C
523,AF12758,51,,,,,,,,,,,,V03,Strain B,Process C
