,Strain,Media,Type of DOE,Plate,Incubation Time (h),Well position,Condition,pH,Glucose (g/L),Ammonium Sulfate (g/L),Phosphate + Citrate (x),YNB (x),Amino Acid 1 (mM),Amino acid 2 (g/L),Amino acid 2 (g/L).1,Ethanol (g/L),Replicate,Agit_rpm,Amino_acid_Mix (x) ,Calculated OD600 to Nanodrop,Residual glucose (g/l)
59,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,E12,15,6.5,15,7.5,0.2,2.0,3.5,0.0,0.0,5.0,4,300,1,6.471145128,
60,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F1,16,6.5,35,3.0,1.0,0.5,3.5,0.25,0.0,0.0,1,300,1,0.216488936,34.59
61,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F2,16,6.5,35,3.0,1.0,0.5,3.5,0.25,0.0,0.0,2,300,1,0.169806274,
62,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F3,16,6.5,35,3.0,1.0,0.5,3.5,0.25,0.0,0.0,3,300,1,0.210161873,
63,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F4,16,6.5,35,3.0,1.0,0.5,3.5,0.25,0.0,0.0,4,300,1,0.195785989,
64,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F5,17,6.5,35,3.0,1.0,2.0,0.1,0.0,0.25,5.0,1,300,1,5.200494388,23.18
65,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F6,17,6.5,35,3.0,1.0,2.0,0.1,0.0,0.25,5.0,2,300,1,5.047497588,
66,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F7,17,6.5,35,3.0,1.0,2.0,0.1,0.0,0.25,5.0,3,300,1,4.613976201,
67,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F8,17,6.5,35,3.0,1.0,2.0,0.1,0.0,0.25,5.0,4,300,1,5.072840222,
68,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F9,18,6.5,15,12.0,1.0,0.5,1.8,0.5,0.0,5.0,1,300,1,0.674862452,13.21
69,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F10,18,6.5,15,12.0,1.0,0.5,1.8,0.5,0.0,5.0,2,300,1,0.602358744,
70,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F11,18,6.5,15,12.0,1.0,0.5,1.8,0.5,0.0,5.0,3,300,1,0.492828399,
71,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,F12,18,6.5,15,12.0,1.0,0.5,1.8,0.5,0.0,5.0,4,300,1,0.527831356,
72,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G1,19,6.5,35,12.0,0.2,0.5,3.5,0.0,0.5,2.5,1,300,1,3.712991857,28.16
73,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G2,19,6.5,35,12.0,0.2,0.5,3.5,0.0,0.5,2.5,2,300,1,3.808011784,
74,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G3,19,6.5,35,12.0,0.2,0.5,3.5,0.0,0.5,2.5,3,300,1,3.952768207,
75,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G4,19,6.5,35,12.0,0.2,0.5,3.5,0.0,0.5,2.5,4,300,1,3.075309649,
76,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G5,20,6.5,25,3.0,0.2,0.5,0.1,0.5,0.5,5.0,1,300,1,5.82834361,16.15
77,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G6,20,6.5,25,3.0,0.2,0.5,0.1,0.5,0.5,5.0,2,300,1,7.801599511,
78,Strain A,SC_drop_out,Round_0_Definitive_screening_design,Plate 18,18,G7,20,6.5,25,3.0,0.2,0.5,0.1,0.5,0.5,5.0,3,300,1,6.750687295,
